ProductCode;Year;Period;Qty
DDR4;2025;Q2;72
DDR5;2021;Q2;28
NV5050;2024;Q4;76
NV5060;2017;Q3;11
DDR4;2019;Q2;42
DDR5;2016;Q4;17
NV5050;2018;Q2;63
NV5060;2019;Q2;42
DDR4;2021;Q3;10
DDR5;2018;Q1;73
NV5050;2024;Q2;49
NV5060;2017;Q3;57
DDR4;2017;Q4;73
DDR5;2020;Q2;34
NV5050;2021;Q1;76
NV5060;2023;Q4;10
DDR4;2017;Q4;54
DDR5;2022;Q1;5
NV5050;2022;Q4;16
NV5060;2025;Q4;5
DDR4;2022;Q1;40
DDR5;2023;Q4;38
NV5050;2024;Q1;74
NV5060;2025;Q1;16
DDR4;2019;Q2;37
DDR5;2020;Q1;33
NV5050;2018;Q1;41
NV5060;2023;Q2;16
DDR4;2017;Q2;51
DDR5;2017;Q1;14
NV5050;2018;Q4;56
NV5060;2022;Q2;39
DDR4;2019;Q4;76
DDR5;2020;Q3;64
NV5050;2024;Q4;13
NV5060;2021;Q1;33
DDR4;2020;Q3;38
DDR5;2018;Q1;8
NV5050;2022;Q3;31
NV5060;2019;Q1;72
DDR4;2025;Q1;53
DDR5;2017;Q1;46
NV5050;2017;Q2;39
NV5060;2022;Q3;60
DDR4;2022;Q4;25
DDR5;2022;Q2;65
NV5050;2025;Q4;74
NV5060;2020;Q1;48
DDR4;2025;Q2;51
DDR5;2025;Q1;42
NV5050;2024;Q1;36
NV5060;2023;Q2;37
DDR4;2019;Q3;37
DDR5;2023;Q3;14
NV5050;2017;Q4;75
NV5060;2021;Q3;31
DDR4;2025;Q4;19
DDR5;2017;Q2;77
NV5050;2023;Q4;22
NV5060;2023;Q1;27
DDR4;2023;Q3;33
DDR5;2019;Q1;59
NV5050;2020;Q1;20
NV5060;2018;Q4;34
DDR4;2023;Q1;35
DDR5;2023;Q2;6
NV5050;2018;Q2;70
NV5060;2021;Q2;20
DDR4;2025;Q2;26
DDR5;2018;Q2;79
NV5050;2022;Q2;46
NV5060;2017;Q2;72
DDR4;2024;Q3;35
DDR5;2025;Q2;63
NV5050;2021;Q3;17
NV5060;2025;Q3;72
DDR4;2022;Q1;7
DDR5;2017;Q3;78
NV5050;2018;Q4;52
NV5060;2023;Q3;61
DDR4;2018;Q4;76
DDR5;2024;Q1;31
NV5050;2025;Q4;75
NV5060;2022;Q1;11
DDR4;2019;Q1;37
DDR5;2018;Q2;73
NV5050;2017;Q2;35
NV5060;2019;Q4;41
DDR4;2022;Q2;76
DDR5;2022;Q2;53
NV5050;2019;Q3;10
NV5060;2022;Q2;13
DDR4;2018;Q3;70
DDR5;2025;Q4;39
NV5050;2022;Q1;16
