Customer;Year;Month;Product;Quantity;Total TTC 
Magasin 873;2026;5;Dentifrice;372;441
Magasin 479;2019;11;Yaourt;213;396
Magasin 639;2024;4;Jouet A;300;272
Magasin 164;2014;6;Dentifrice;470;436
Magasin 173;2021;2;Yaourt;382;36
Magasin 64;2011;3;Jouet A;264;115
Magasin 105;2015;11;Dentifrice;144;109
Magasin 972;2021;7;Yaourt;404;454
Magasin 786;2010;5;Jouet A;487;150
Magasin 990;2019;3;Dentifrice;368;27
Magasin 282;2018;2;Yaourt;478;284
Magasin 777;2015;10;Jouet A;456;53
Magasin 110;2016;9;Dentifrice;32;103
Magasin 513;2021;6;Yaourt;483;414
Magasin 46;2015;1;Jouet A;371;288
Magasin 919;2015;4;Dentifrice;355;190
Magasin 370;2010;9;Yaourt;416;473
Magasin 582;2020;11;Jouet A;287;73
Magasin 52;2019;11;Dentifrice;90;437
Magasin 50;2025;12;Yaourt;339;476
Magasin 54;2010;11;Jouet A;402;368
Magasin 495;2021;4;Dentifrice;400;466
Magasin 490;2020;12;Yaourt;292;173
Magasin 171;2020;8;Jouet A;56;24
Magasin 947;2014;7;Dentifrice;19;474
Magasin 316;2018;8;Yaourt;169;253
Magasin 227;2012;8;Jouet A;386;298
Magasin 131;2022;6;Dentifrice;167;317
Magasin 394;2019;8;Yaourt;221;51
Magasin 836;2011;4;Jouet A;417;158
Magasin 962;2014;10;Dentifrice;113;346
Magasin 393;2019;1;Yaourt;401;355
Magasin 701;2022;8;Jouet A;482;119
Magasin 357;2014;8;Dentifrice;84;193
Magasin 10;2011;7;Yaourt;61;496
Magasin 72;2021;8;Jouet A;463;482
Magasin 676;2014;6;Dentifrice;181;177
Magasin 638;2019;2;Yaourt;63;281
Magasin 965;2010;3;Jouet A;159;11
Magasin 578;2025;7;Dentifrice;262;104
Magasin 785;2012;1;Yaourt;494;37
Magasin 71;2013;8;Jouet A;473;472
Magasin 589;2014;9;Dentifrice;195;94
Magasin 970;2021;6;Yaourt;238;252
Magasin 842;2020;6;Jouet A;135;218
Magasin 84;2022;10;Dentifrice;383;461
Magasin 420;2018;3;Yaourt;391;37
Magasin 978;2014;11;Jouet A;410;103
Magasin 844;2016;2;Dentifrice;383;416
Magasin 514;2024;5;Yaourt;157;87
Magasin 379;2015;5;Jouet A;81;378
Magasin 661;2017;7;Dentifrice;466;378
Magasin 740;2015;2;Yaourt;230;229
Magasin 342;2013;10;Jouet A;250;288
Magasin 991;2021;5;Dentifrice;262;44
Magasin 738;2010;10;Yaourt;452;56
Magasin 968;2025;4;Jouet A;88;474
Magasin 653;2015;8;Dentifrice;343;97
Magasin 750;2014;1;Yaourt;458;488
Magasin 701;2014;12;Jouet A;55;116
Magasin 659;2026;6;Dentifrice;164;90
Magasin 123;2015;2;Yaourt;347;116
Magasin 629;2015;6;Jouet A;2;317
Magasin 109;2016;1;Dentifrice;438;268
Magasin 557;2022;7;Yaourt;414;224
Magasin 395;2016;11;Jouet A;93;292
Magasin 784;2013;3;Dentifrice;44;160
Magasin 216;2020;2;Yaourt;227;325
Magasin 907;2020;3;Jouet A;153;302
Magasin 974;2021;10;Dentifrice;307;147
Magasin 308;2020;3;Yaourt;154;251
Magasin 684;2013;8;Jouet A;191;213
Magasin 110;2018;6;Dentifrice;95;482
Magasin 954;2022;2;Yaourt;109;134
Magasin 426;2011;8;Jouet A;213;49
Magasin 230;2011;9;Dentifrice;107;236
Magasin 137;2022;10;Yaourt;256;54
Magasin 992;2021;3;Jouet A;356;412
Magasin 112;2013;1;Dentifrice;320;261
Magasin 914;2012;1;Yaourt;64;18
Magasin 631;2019;12;Jouet A;241;324
Magasin 499;2017;9;Dentifrice;450;181
Magasin 80;2023;10;Yaourt;398;9
Magasin 7;2025;2;Jouet A;80;149
Magasin 757;2010;2;Dentifrice;196;357
Magasin 162;2014;4;Yaourt;92;384
Magasin 775;2022;11;Jouet A;455;2
Magasin 251;2019;5;Dentifrice;363;417
Magasin 319;2012;2;Yaourt;102;376
Magasin 882;2013;11;Jouet A;317;177
Magasin 49;2015;9;Dentifrice;464;184
Magasin 71;2022;2;Yaourt;51;423
Magasin 584;2023;9;Jouet A;408;444
Magasin 166;2011;4;Dentifrice;4;227
Magasin 212;2015;1;Yaourt;255;340
Magasin 890;2013;10;Jouet A;386;191
Magasin 660;2014;5;Dentifrice;129;137
